,0
0,Tolschina
1,Pozitsija_VTO
2,Trend_temperatury_kontsa_prokatki_M12-02
3,R17sr
4,"Dlina,_m"
5,Soderzhanie_H2_v_SF3_MP1
6,Temperatura_v_HEF_zona_1
7,Temperatura_polosy_na_levoj_motalke_prohod_3
8,Tochka_rosy_v_SF1_MP3
9,Temperatura_v_RTF_zona_4
10,Temperatura_v_RTF_zona_5
11,Temperatura_polosy_na_levoj_motalke_prohod_5
12,cold2_len
13,norm_len
14,Temperatura_v_SF3_zona_3
15,Soderzhanie_H2_v_SF1_MP4
16,Soderzhanie_H2_v_HEF_MP1
17,hot_len
18,Temperatura_polosy_v_zone_7
19,Temperatura_v_ATC1_zona_2
